Item Name	Base price	Crafting price	Price adjustment	Source	Attunement?	HoTC Rarity	Shoppable	Craftable	Ban reason	Available in shop	Total Weight	Manual Weight	Base	Priced Weight	
Seeker Dart	50	25		PA	No	Bronze	Yes	Yes		TRUE	120	0	20	100	
Sekolahian Worshiping Statuette	30	15		GoS	No	Bronze	Yes	Yes		TRUE	120	0	20	100	
Shield Of Expression	30	15		XGE	No	Bronze	Yes	Yes		TRUE	120	0	20	100	
Smoldering Armor	20	10	add armor cost	XGE	No	Bronze	Yes	Yes		TRUE	120	0	20	100	
Spell Scroll (Level 0)	20	-		DMG	No	Bronze	Yes	Yes		TRUE	120	0	20	100	
Spell Scroll (Level 1)	60	-		DMG	No	Bronze	Yes	Yes		TRUE	117	0	20	97	
Spell Scroll (Level 2)	120	-		DMG	No	Bronze	Yes	Yes		TRUE	104	0	20	84	
Spell Scroll (Level 3)	200	-		DMG	No	Bronze	Yes	Yes		TRUE	80	80	20	66	
Spell Scroll (Level 4)	320	-		DMG	No	Bronze	Yes	Yes		TRUE	80	80	20	40	
Spellshard	100	50		EBR	No	Bronze	Yes	Yes		TRUE	108	0	20	88	
Spellwrought Tattoo (1st level)	120	60		TCE	No	Bronze	Yes	Yes		TRUE	104	0	20	84	
Spellwrought Tattoo (Cantrip)	40	20		TCE	No	Bronze	Yes	Yes		TRUE	120	0	20	100	
Staff Of Adornment	50	25		XGE	No	Bronze	Yes	Yes		TRUE	120	0	20	100	
Staff Of Birdcalls	80	40		XGE	No	Bronze	Yes	Yes		TRUE	113	0	20	93	
Staff Of Flowers	40	20		XGE	No	Bronze	Yes	Yes		TRUE	120	0	20	100	
Storm Boomerang	400	200		PA	No	Bronze	Yes	Yes		TRUE	42	0	20	22	
Strixhaven Pennant	60	30		SCC	No	Bronze	Yes	Yes		TRUE	117	0	20	97	
Talking Doll	60	30		XGE	Yes	Bronze	Yes	Yes		TRUE	117	0	20	97	
Tankard of Plenty	300	150		HDQ	No	Bronze	Yes	Yes		TRUE	64	0	20	44	
Tankard Of Sobriety	200	100		XGE	No	Bronze	Yes	Yes		TRUE	86	0	20	66	
Universal Solvent	300	150		DMG	No	Bronze	Yes	Yes		TRUE	64	0	20	44	
Veteran's Cane	30	15		XGE	No	Bronze	Yes	Yes		TRUE	120	0	20	100	
Vicious Weapon (any weapon)	350	175		DMG	No	Bronze	Yes	Yes		TRUE	53	0	20	33	
Walloping Ammunition	300	150		XGE	No	Bronze	Yes	Yes		TRUE	64	0	20	44	
Wand Of Conducting	250	125		XGE	No	Bronze	Yes	Yes		TRUE	75	0	20	55	
Wand Of Pyrotechnics	150	75		XGE	No	Bronze	Yes	Yes		TRUE	97	0	20	77	
Wand Sheath	500	250		EBR	Warforged	Bronze	Yes	Yes		TRUE	20	0	20	0	
Weapon of Certain Death	500	250		EGW	No	Bronze	Yes	Yes		TRUE	20	0	20	0	
Wingwear	500	250		PotA	Yes	Bronze	Yes	Yes		TRUE	20	0	20	0	
"Armor, +3"	100000	50000	add armor cost	DMG	No	Diamond	No	Yes		FALSE	101	0	1	100	
Ascendent Dragon's Wrath Weapon	100000	50000		FTD	Yes	Diamond	No	Yes		FALSE	101	0	1	100	
Baba Yaga's Pestle	"110,000"	55000		TCE	Yes	Diamond	No	Yes		FALSE	97	0	1	96	
Belt Of Giant Strength (Cloud)	"140,000"	70000		DMG	Yes	Diamond	No	No		FALSE	87	0	1	86	
Belt Of Giant Strength (Fire)	"125,000"	62500		DMG	Yes	Diamond	No	Yes		FALSE	92	0	1	91	
Blood Fury Tattoo	"110,000"	55000		TCE	Yes	Diamond	No	Yes		FALSE	97	0	1	96	
Cloak of Invisibility	"120,000"	60000		DMG	Yes	Diamond	No	Yes		FALSE	94	0	1	93	
Crystal Ball of Mind Reading	"100,000"	50000		DMG	Yes	Diamond	No	Yes		FALSE	101	0	1	100	
Crystal Ball of Telepathy	"100,000"	50000		DMG	Yes	Diamond	No	Yes		FALSE	101	0	1	100	
Crystal Ball of True Seeing	"100,000"	50000		DMG	Yes	Diamond	No	Yes		FALSE	101	0	1	100	
Defender	"130,000"	65000		DMG	Yes	Diamond	No	Yes		FALSE	91	0	1	90	
Dyrrn's Tentacle Whip	"100,000"	50000		ERLW	Yes	Diamond	No	Yes		FALSE	101	0	1	100	
Fane-Eater	"100,000"	50000		BGDIA	Yes	Diamond	No	Yes		FALSE	101	0	1	100	
Greater Silver Sword	"100,000"	50000		MTF	Yes	Diamond	No	Yes		FALSE	101	0	1	100	
Grimoire Infinitus	"110,000"	55000		EGW	Yes	Diamond	No	Yes		FALSE	97	0	1	96	
Holy Avenger	"110,000"	55000		DMG	Yes	Diamond	No	Yes		FALSE	97	0	1	96	
Instrument of the Bards (Ollamh Harp)	"105,000"	52500		DMG	Yes	Diamond	No	Yes		FALSE	99	0	1	98	
Ioun Stone (Greater Absorption)	"120,000"	60000		DMG	Yes	Diamond	No	Yes		FALSE	94	0	1	93	
Ioun Stone (Mastery)	"130,000"	65000		DMG	Yes	Diamond	No	Yes		FALSE	91	0	1	90	
"Magical focus, Spell Save DC +3"	"110,000"	55000		"DMG, TCE"	Yes	Diamond	No	Yes		FALSE	97	0	1	96	
Manual of Bodily Health	"400,000"	200000		DMG	No	Restricted	No	Yes	Contact DMs if you want to craft one.	FALSE	0	0	0	0	
Manual of Gainful Exercise	"400,000"	200000		DMG	No	Restricted	No	Yes	Contact DMs if you want to craft one.	FALSE	0	0	0	0	
Manual of Golems (Clay)	"80,000"	40000		DMG	No	Diamond	No	No	The possibility of making golems is game breaking	FALSE	101	0	1	100	
Manual of Golems (Flesh)	"85,000"	42500		DMG	No	Diamond	No	No	The possibility of making golems is game breaking	FALSE	101	0	1	100	
Manual of Golems (Iron)	"90,000"	45000		DMG	No	Diamond	No	No	The possibility of making golems is game breaking	FALSE	101	0	1	100	
Manual of Golems (Stone)	"85,000"	42500		DMG	No	Diamond	No	No	The possibility of making golems is game breaking	FALSE	101	0	1	100	
Manual of Quickness of Action	"400,000"	200000		DMG	No	Restricted	No	Yes	Contact DMs if you want to craft one.	FALSE	0	0	0	0	
Platinum Scarf	"115,000"	57500		FTD	Yes	Diamond	No	Yes		FALSE	96	0	1	95	
Ring Of Invisibility	"105,000"	52500		DMG	Yes	Diamond	No	Yes		FALSE	99	0	1	98	
Robe Of The Archmagi	"160,000"	80000		DMG	Yes	Diamond	No	Yes		FALSE	81	0	1	80	
Rod Lordly Might	"125,000"	62500		DMG	Yes	Diamond	No	Yes		FALSE	92	0	1	91	
Spell Scroll (Level 9)	"10,240"	-		DMG	No	Diamond	No	Yes		FALSE	101	0	1	100	
Staff Of Power	"110,000"	55000		DMG	Yes	Diamond	No	No		FALSE	97	0	1	96	
Staff Of The Magi	"150,000"	75000		DMG	Yes	Diamond	No	Yes		FALSE	84	0	1	83	
Tome of Clear Thought	"400,000"	200000		DMG	No	Restricted	No	Yes	Contact DMs if you want to craft one.	FALSE	0	0	0	0	
Tome of Leadership and Influence	"400,000"	200000		DMG	No	Restricted	No	Yes	Contact DMs if you want to craft one.	FALSE	0	0	0	0	
Tome of Understanding	"400,000"	200000		DMG	No	Restricted	No	Yes	Contact DMs if you want to craft one.	FALSE	0	0	0	0	
Vorpal Sword	"115,000"	57500		DMG	Yes	Diamond	No	Yes		FALSE	96	0	1	95	
Absorbing Tattoo	"35,000"	17500		TCE	Yes	Gold	Yes	Yes		FALSE	47	0	10	37	
Ammunition of Slaying (1)	"6,000"	3000		DMG	No	Gold	Yes	Yes		FALSE	110	0	10	100	
Amulet Of Health	"40,000"	20000		DMG	Yes	Gold	No	Yes		FALSE	35	0	10	25	
Amulet Of Proof Against Detection And Location	"20,000"	10000		DMG	Yes	Gold	Yes	Yes		FALSE	85	0	10	75	
Amulet of the Planes	"43,000"	21500		DMG	Yes	Gold	Yes	Yes		FALSE	27	0	10	17	
Animated Shield	"15,000"	7500		DMG	Yes	Gold	Yes	Yes		FALSE	97	0	10	87	
"Armor, +1"	"10,000"	5000	add armor cost	DMG	No	Gold	Yes	Yes		FALSE	110	0	10	100	
Banner Of The Krig Rune	"50,000"	25000		SKT	Yes	Gold	No	No		FALSE	10	0	10	0	
Barrier Tattoo (18)	"20,000"	10000		TCE	Yes	Gold	Yes	Yes		FALSE	85	0	10	75	
Belt Of Giant Strength (Hill)	"25,000"	12500		DMG	Yes	Gold	Yes	Yes		FALSE	72	0	10	62	
Bloodaxe	"22,000"	11000		EGW	Yes	Gold	No	Yes		FALSE	80	0	10	70	
Boots Of The Winterlands	"10,000"	5000		DMG	Yes	Gold	Yes	Yes		FALSE	110	0	10	100	
Bowl Of Commanding Water Elementals	"10,000"	5000		DMG	No	Gold	Yes	Yes		FALSE	110	0	10	100	
Bracers Of Archery	"5,000"	2500		DMG	Yes	Silver	Yes	Yes		TRUE	67	0	15	52	
Brazier Of Commanding Fire Elementals	"10,000"	5000		DMG	No	Gold	Yes	Yes		FALSE	110	0	10	100	
Broom Of Flying	"20,000"	10000		DMG	No	Gold	Yes	Yes		FALSE	85	0	10	75	
Cape Of The Mountebank	"12,000"	6000		DMG	No	Gold	Yes	Yes		FALSE	105	0	10	95	
Carpet of Flying	"28,000"	14000		DMG	No	Gold	No	Yes		FALSE	65	0	10	55	
Censer Of Controlling Air Elementals	"10,000"	5000		DMG	No	Gold	Yes	Yes		FALSE	110	0	10	100	
Claw Of The Wyrm Rune	"30,000"	15000		SKT	Yes	Gold	Yes	Yes		FALSE	60	0	10	50	
Cloak Of Displacement	"50,000"	25000		DMG	Yes	Gold	Yes	Yes		FALSE	10	0	10	0	
Daern's Instant Fortress	"50,000"	25000		DMG	No	Gold	Yes	Yes		FALSE	10	0	10	0	
Dancing Sword	"11,000"	5500		DMG	Yes	Gold	Yes	Yes		FALSE	107	0	10	97	
Danoth's Visor	"8,000"	4000		EGW	Yes	Gold	No	Yes		FALSE	110	0	10	100	
Dawnbringer	"35,000"	17500		OotA	Yes	Gold	No	Yes		FALSE	47	0	10	37	
Decanter Of Endless Water	"30,000"	15000		DMG	No	Gold	Yes	Yes		FALSE	60	0	10	50	
Demon Armor	"14,000"	7000		DMG	Yes	Gold	No	No	Cursed item	FALSE	100	0	10	90	
Dragonguard	"10,000"	5000		LMP	No	Gold	Yes	Yes		FALSE	110	0	10	100	
Dragonhide Belt +2	"15,000"	7500		FTD	Yes	Gold	Yes	Yes		FALSE	97	0	10	87	
Dragontooth Dagger	"16,500"	8250		RoT	No	Gold	No	Yes		FALSE	93	0	10	83	
Duskcrusher	"35,000"	17500		EGW	Yes	Gold	No	Yes		FALSE	47	0	10	37	
Dust of Corrosion	"20,000"	10000		WBW	No	Gold	Yes	Yes		FALSE	85	0	10	75	
Eagle Whistle	"3,000"	1500		TYP	No	Silver	Yes	Yes		TRUE	88	0	15	73	
Eldritch Staff	"36,000"	18000		WBtW	Yes	Gold	Yes	Yes		FALSE	45	0	10	35	
Elemental Gem	"5,000"	2500		DMG	No	Gold	Yes	Yes		FALSE	110	0	10	100	
Far Gear	"28,000"	14000		AI	Yes	Gold	No	Yes		FALSE	65	0	10	55	
Figurine of Wondrous Power (Golden Lions)	"10,000"	5000		DMG	No	Gold	Yes	Yes		FALSE	110	0	10	100	
Figurine of Wondrous Power (Ivory Goats)	"20,000"	10000		DMG	No	Gold	Yes	Yes		FALSE	85	0	10	75	
Figurine of Wondrous Power (Obsidian Steed)	"24,000"	12000		DMG	No	Gold	No	No	Can send good creatures to Hades	FALSE	75	0	10	65	
Finder's Goggles	"10,000"	5000		EBR	Yes	Gold	Yes	Yes		FALSE	110	0	10	100	
Folding Boat	"10,000"	5000		DMG	No	Gold	Yes	Yes		FALSE	110	0	10	100	
Frost Brand	"16,000"	8000		DMG	Yes	Gold	Yes	Yes		FALSE	95	0	10	85	
Gambler's Blade	"25,000"	12500		LLK	Yes	Gold	No	No	Cursed item	FALSE	72	0	10	62	
Gauntlets Of Ogre Power	"10,000"	5000		DMG	Yes	Gold	Yes	Yes		FALSE	110	0	10	100	
Gavel Of The Venn Rune	"10,000"	5000		SKT	Yes	Gold	Yes	Yes		FALSE	110	0	10	100	
Gem Of Seeing	"32,000"	16000		DMG	Yes	Gold	Yes	Yes		FALSE	55	0	10	45	
Headband Of Intellect	"30,000"	15000		DMG	Yes	Gold	Yes	Yes		FALSE	60	0	10	50	
Helm Of Telepathy	"12,000"	6000		DMG	Yes	Gold	Yes	Yes		FALSE	105	0	10	95	
Heward's Hireling Armor	26000	13000		LLK	Yes	Gold	Yes	Yes		FALSE	70	0	10	60	
Hide of the Feral Guardian	"36,000"	18000		EGW	Yes	Gold	No	Yes		FALSE	45	0	10	35	
Horseshoes Of A Zephyr	"28,000"	14000		DMG	No	Gold	No	Yes		FALSE	65	0	10	55	
Hunter's Coat	"23,000"	11500		EGW	Yes	Gold	No	Yes		FALSE	77	0	10	67	
Infernal Puzzle Box (empty)	"10,000"	5000		BGA	No	Gold	Yes	Yes		FALSE	110	0	10	100	
Infiltrator's Key	"12,000"	6000		EGW	Yes	Gold	Yes	Yes		FALSE	105	0	10	95	
Ioun Stone (Awareness)	"12,000"	6000		DMG	Yes	Gold	Yes	Yes		FALSE	105	0	10	95	
Ioun Stone (Regeneration)	"19,000"	9500		DMG	Yes	Gold	Yes	Yes		FALSE	87	0	10	77	
Ioun Stone (Vitality)	17500	8750		IMR	Yes	Gold	Yes	Yes		FALSE	91	0	10	81	
Javelin Of Backbiting	"11,000"	5500		TFtyP	Yes	Gold	No	No	Cursed item	FALSE	107	0	10	97	
Jewel of Three Prayers	"40,000"	20000		CR:CotN	Yes	Gold	No	Yes		FALSE	35	0	10	25	
Kyrzin's Ooze	"31,000"	15500		ERLW	Yes	Gold	Yes	Yes		FALSE	57	0	10	47	
Last Stand Armor	"30,000"	15000		EGW	No	Gold	Yes	Yes		FALSE	60	0	10	50	
Lifewell Tattoo	"38,000"	19000		TCE	Yes	Gold	Yes	Yes		FALSE	40	0	10	30	
Living Armor	"20,000"	10000		ERLW	Yes	Gold	Yes	Yes		FALSE	85	0	10	75	
Lost Crown of Besilmer	"14,000"	7000		PotA	Yes	Gold	Yes	Yes		FALSE	100	0	10	90	
"Magical focus, Spell Save DC +1"	"10,000"	5000		"DMG, TCE"	Yes	Gold	Yes	Yes		FALSE	110	0	10	100	
Mantle Of Spell Resistance	"30,000"	15000		DMG	Yes	Gold	Yes	Yes		FALSE	60	0	10	50	
Mind Flayer Skull	"10,000"	5000		WDMM	No	Gold	Yes	No		FALSE	110	0	10	100	
Mizzium Armor	"20,000"	10000		GGR	No	Gold	Yes	Yes		FALSE	85	0	10	75	
Mizzium Mortar	"10,000"	5000		GGR	No	Gold	Yes	Yes		FALSE	110	0	10	100	
Necklace Of Prayer Beads	"30,000"	15000		DMG	Yes	Gold	Yes	Yes		FALSE	60	0	10	50	
Oil Of Sharpness	"15,000"	7500		DMG	No	Gold	Yes	Yes		FALSE	97	0	10	87	
Ornithopter of Flying	"21,000"	10500		WBtW	Yes	Gold	No	Yes		FALSE	82	0	10	72	
Pariah's Shield	"15,000"	7500		GGR	Yes	Gold	Yes	Yes		FALSE	97	0	10	87	
Pennant of the Vind Rune	"13,000"	6500		SKT	Yes	Gold	Yes	Yes		FALSE	102	0	10	92	
Potion Of Flying	"3,500"	1750		DMG	No	Gold	Yes	Yes		FALSE	110	0	10	100	
Potion Of Giant Strength (Fire)	"20,000"	10000		DMG	No	Gold	Yes	Yes		FALSE	85	0	10	75	
Potion Of Giant Strength (Frost/Stone)	"10,000"	5000		DMG	No	Gold	Yes	Yes		FALSE	110	0	10	100	
Potion of Healing (Supreme)	"10,000"	5000		DMG	No	Gold	Yes	Yes		FALSE	500	500	10	100	
Potion Of Longevity	"6,500"	3250		DMG	No	Gold	Yes	Yes		FALSE	110	0	10	100	
Potion of Possibility	"6,000"	3000		EGW	No	Gold	Yes	Yes		FALSE	110	0	10	100	
Potion Of Speed	"10,000"	5000		DMG	No	Gold	No	Yes		FALSE	110	0	10	100	
Potion Of Vitality	"3,500"	1750		DMG	No	Gold	No	Yes		FALSE	110	0	10	100	
Primal Amulet (attunement)	15000	7500		XMtS	Yes	Gold	No	Yes		FALSE	97	0	10	87	
Prying Blade	13000	6500		XMtS	No	Gold	Yes	Yes		FALSE	102	0	10	92	
Pyxis of Pandemonium	-	-		MOT	No	Gold	No	No	Interesting item to just appear somewhere	FALSE	10	0	10	0	
Reveler's Concertina	"20,000"	10000		TCE	Yes	Gold	Yes	Yes		FALSE	85	0	10	75	
Ring Of Free Action	"20,000"	10000		DMG	Yes	Gold	Yes	Yes		FALSE	85	0	10	75	
Ring Of Mind Shielding	"16,000"	8000		DMG	Yes	Gold	Yes	Yes		FALSE	95	0	10	85	
Ring Of Spell Storing	"24,000"	12000		DMG	Yes	Gold	Yes	Yes		FALSE	75	0	10	65	
Robe Of Eyes	"30,000"	15000		DMG	Yes	Gold	Yes	Yes		FALSE	60	0	10	50	
Robe Of Summer	"15,000"	7500		TYP	Yes	Gold	Yes	Yes		FALSE	97	0	10	87	
Rod Of Rulership	"16,000"	8000		DMG	Yes	Gold	Yes	Yes		FALSE	95	0	10	85	
Rotor of Return	"14,000"	7000		AI	Yes	Gold	Yes	Yes		FALSE	100	0	10	90	
Sentinel Shield	"20,000"	10000		DMG	No	Gold	Yes	Yes		FALSE	85	0	10	75	
Serpent Scale Armor	"50,000"	25000		CM	No	Platinum	Yes	Yes		FALSE	105	0	5	100	
Shard of the Ise Rune	"18,000"	9000		SKT	Yes	Gold	Yes	Yes		FALSE	90	0	10	80	
"Shield, +2"	"15,000"	7500		DMG	No	Gold	Yes	Yes		FALSE	97	0	10	87	
Sling Bullets of Althemone	"6,000"	3000		MOT	No	Gold	Yes	Yes		FALSE	110	0	10	100	
Sorcerous Spyglass	19500	9750		XMtS	No	Gold	Yes	Yes	Note: Non-attunment makes it really strong	FALSE	86	0	10	76	
Spear of Backbiting	"11,000"	5500		TFtyP	Yes	Gold	No	No	Cursed item	FALSE	107	0	10	97	
Spell Scroll (Level 6)	"1,280"	-		DMG	No	Gold	No	Yes		FALSE	110	0	10	100	
Staff Of Charming	"12,000"	6000		DMG	Yes	Gold	Yes	Yes		FALSE	105	0	10	95	
Staff Of Defense	"15,000"	7500		LMP	Yes	Gold	Yes	Yes		FALSE	97	0	10	87	
Staff of Dunamancy	"45,000"	22500		EGW	Yes	Gold	Yes	Yes		FALSE	22	0	10	12	
Staff Of Healing	"13,000"	6500		DMG	Yes	Gold	Yes	Yes		FALSE	102	0	10	92	
Staff Of Swarming Insects	"16,000"	8000		DMG	Yes	Gold	Yes	Yes		FALSE	95	0	10	85	
Staff Of The Python	"10,000"	5000		DMG	Yes	Gold	Yes	Yes		FALSE	110	0	10	100	
Stirring Dragon's Wrath Weapon (upgradeable)	"15,000"	7500		FTD	Yes	Gold	No	Yes	Must be upgraded from slumbering weapon	FALSE	97	0	10	87	
Stone Of Controlling Earth Elementals	"10,000"	5000		DMG	No	Gold	Yes	Yes		FALSE	110	0	10	100	
Sun Blade (longsword)	"25,000"	12500		DMG	Yes	Gold	Yes	Yes		FALSE	72	0	10	62	
Sunforger (warhammer)	"18,000"	9000		GGR	Yes	Gold	Yes	Yes		FALSE	90	0	10	80	
Sword of Sharpness	"16,500"	8250		DMG	Yes	Gold	Yes	Yes		FALSE	93	0	10	83	
Sword of the Paruns	"13,500"	6750		DMG	Yes	Gold	Yes	Yes		FALSE	101	0	10	91	
Vanquisher's Banner (Attunment)	24000	12000		XMtS	Yes	Gold	Yes	Yes	Attunment added to the item	FALSE	75	0	10	65	
Verminshroud	"18,000"	9000		EGW	Yes	Gold	No	Yes		FALSE	90	0	10	80	
Wand Of Binding	"10,000"	5000		DMG	Yes	Gold	Yes	Yes		FALSE	110	0	10	100	
Wand Of Fear	"10,000"	5000		DMG	Yes	Gold	Yes	Yes		FALSE	110	0	10	100	
Wand Of Fireballs	"32,000"	16000		DMG	Yes	Gold	Yes	Yes		FALSE	55	0	10	45	
Wand Of Lightning Bolts	"32,000"	16000		DMG	Yes	Gold	Yes	Yes		FALSE	55	0	10	45	
Wand Of Paralysis	"16,000"	8000		DMG	Yes	Gold	Yes	Yes		FALSE	95	0	10	85	
Wand Of The War Mage +2	"15,000"	7500		DMG	Yes	Gold	Yes	Yes		FALSE	97	0	10	87	
Watchful Helm	"27,000"	13500		CM	Yes	Gold	Yes	Yes		FALSE	67	0	10	57	
Waythe	"20,000"	10000		TFtyP	Yes	Gold	No	No	Unique item	FALSE	85	0	10	75	
Weapon Of Warning	"20,000"	10000		DMG	Yes	Gold	Yes	Yes		FALSE	85	0	10	75	
"Weapon, +2"	"10,000"	5000		DMG	No	Gold	Yes	Yes		FALSE	110	0	10	100	
Wheel of Stars	"33,000"	16500		AI	Yes	Gold	No	Yes		FALSE	52	0	10	42	
White Dragon Cape	"15,000"	7500		TYP	No	Gold	Yes	Yes		FALSE	97	0	10	87	
Wreath of the Prism	23500	11750		EGW	Yes	Gold	No	Yes		FALSE	76	0	10	66	
Amethyst Lodestone	"78,000"	39000		FTD	Yes	Platinum	No	Yes		FALSE	49	0	5	44	
Ammunition +3 (20)	"6,000"	3000		DMG	No	Platinum	No	Yes		FALSE	105	0	5	100	
"Armor, +2"	50000	25000	add armor cost	DMG	No	Platinum	No	Yes		FALSE	105	0	5	100	
Belt Of Giant Strength (Frost/Stone)	"50,000"	25000		DMG	Yes	Platinum	No	Yes		FALSE	105	0	5	100	
Blade of the Medusa	65000	32500		LLK	Yes	Platinum	No	No	Cursed item	FALSE	75	0	5	70	
Blast Scepter	"78,000"	39000		WDMM	Yes	Platinum	No	Yes		FALSE	49	0	5	44	
Bookmark	"85,000"	42500		ToA	Yes	Platinum	No	Yes		FALSE	35	0	5	30	
Bracelet of Rock Magic	"52,000"	26000		TftYP	Yes	Platinum	No	No	Cursed item	FALSE	101	0	5	96	
Candle of Invocation	"85,000"	42500		DMG	Yes	Platinum	No	Yes		FALSE	35	0	5	30	
Cloak of Arachnida	"65,000"	32500		DMG	Yes	Platinum	No	Yes		FALSE	75	0	5	70	
Conch of Teleportation	"90,000"	45000		SKT	Yes	Platinum	No	Yes		FALSE	25	0	5	20	
Crystal Ball	"52,000"	26000		DMG	Yes	Platinum	No	Yes		FALSE	101	0	5	96	
Crystalline Chronicle	"72,000"	36000		TCE	Yes	Platinum	No	Yes		FALSE	61	0	5	56	
Dimensional Loop	"60,000"	30000		AI	Yes	Platinum	No	Yes		FALSE	85	0	5	80	
Dispelling Stone	"35,000"	17500		EGW	No	Platinum	No	Yes		FALSE	105	0	5	100	
Dragon Scale Mail	"50,000"	25000		DMG	Yes	Platinum	No	Yes		FALSE	105	0	5	100	
Dragonlance	"75,000"	37500		FTD	Yes	Platinum	No	Yes		FALSE	55	0	5	50	
Dwarven Plate	"60,000"	30000		DMG	No	Platinum	No	Yes		FALSE	85	0	5	80	
Dwarven Thrower	"60,000"	30000		DMG	Yes	Platinum	No	Yes		FALSE	85	0	5	80	
Ghost Step Tattoo	"50,000"	25000		TCE	Yes	Platinum	No	Yes		FALSE	105	0	5	100	
Helm of Brilliance	"50,000"	25000		DMG	Yes	Platinum	No	Yes		FALSE	105	0	5	100	
Helm Of Devil Command	"55,000"	27500		BGDIA	Yes	Platinum	No	Yes		FALSE	95	0	5	90	
Holy Symbol of Ravenkind	"70,000"	35000		CoS	Yes	Platinum	No	Yes		FALSE	65	0	5	60	
Illusionist's Bracers	"85,000"	42500		GGR	Yes	Platinum	No	Yes		FALSE	35	0	5	30	
Ingot Of The Skold Rune	"60,000"	30000		SKT	Yes	Platinum	No	Yes		FALSE	85	0	5	80	
Instrument of the Bards (Anstruth Harp)	"62,000"	31000		DMG	Yes	Platinum	No	Yes		FALSE	81	0	5	76	
Instrument of the Bards (Canaith Mandolin)	"55,000"	27500		DMG	Yes	Platinum	No	Yes		FALSE	95	0	5	90	
Instrument of the Bards (Doss Lute)	"50,000"	25000		DMG	Yes	Platinum	No	Yes		FALSE	105	0	5	100	
Instrument of the Bards (Fochulan Bandore)	"60,000"	30000		DMG	Yes	Platinum	No	Yes		FALSE	85	0	5	80	
Instrument of the Bards (Mac-Fuirmidh Cittern)	"55,000"	27500		DMG	Yes	Platinum	No	Yes		FALSE	95	0	5	90	
Ioun Stone (Absorption)	"50,000"	25000		DMG	Yes	Platinum	No	Yes		FALSE	105	0	5	100	
Ioun Stone (Agility)	"78,000"	39000		DMG	Yes	Platinum	No	Yes		FALSE	49	0	5	44	
Ioun Stone (Fortitude)	"73,000"	36500		DMG	Yes	Platinum	No	Yes		FALSE	59	0	5	54	
Ioun Stone (Insight)	"73,000"	36500		DMG	Yes	Platinum	No	Yes		FALSE	59	0	5	54	
Ioun Stone (Intellect)	"68,000"	34000		DMG	Yes	Platinum	No	Yes		FALSE	69	0	5	64	
Ioun Stone (Leadership)	"75,000"	37500		DMG	Yes	Platinum	No	Yes		FALSE	55	0	5	50	
Ioun Stone (Strength)	"50,000"	25000		DMG	Yes	Platinum	No	Yes		FALSE	105	0	5	100	
Jakarion's Staff of Frost	"63,000"	31500		CoS	Yes	Platinum	No	No	Cursed item	FALSE	79	0	5	74	
Luxon Beacon	"90,000"	45000		EGW	No	Platinum	No	Yes		FALSE	25	0	5	20	
"Magical focus, Spell Save DC +2"	"25,000"	12500		"DMG, TCE"	Yes	Platinum	Yes	Yes		FALSE	105	0	5	100	
Nine Lives Stealer	"85,000"	42500		DMG	Yes	Platinum	No	Yes		FALSE	35	0	5	30	
Nolzur's Marvelous Pigments	"40,000"	20000		DMG	No	Platinum	No	Yes		FALSE	105	0	5	100	
Oathbow	"50,000"	25000		DMG	Yes	Platinum	No	Yes		FALSE	105	0	5	100	
Obsidian Flint Dragon Plate	"65,000"	32500		BGDIA	No	Platinum	No	Yes		FALSE	75	0	5	70	
Orb of The Veil	"80,000"	40000		EGW	Yes	Platinum	No	No	Cursed item	FALSE	45	0	5	40	
Orcsplitter	"50,000"	25000		PotA	Yes	Platinum	No	Yes		FALSE	105	0	5	100	
Order of the Silver Dragon +2 Shield	"68,000"	34000		CoS	No	Platinum	No	Yes		FALSE	69	0	5	64	
Peregrine Mask	"65,000"	32500		GGR	Yes	Platinum	Yes	Yes		FALSE	75	0	5	70	
Polymorph Blade	50000	25000		LLK	Yes	Platinum	No	No	Cursed item	FALSE	105	0	5	100	
Potion Of Dragon's Majesty	"10,000"	5000		FTD	No	Platinum	No	Yes		FALSE	105	0	5	100	
Potion of Giant Size	"25,000"	12500		SKT	No	Platinum	Yes	Yes		FALSE	105	0	5	100	
Potion Of Giant Strength (Cloud)	"15,000"	7500		DMG	No	Platinum	Yes	Yes		FALSE	105	0	5	100	
Potion Of Giant Strength (Storm)	"20,000"	10000		DMG	No	Platinum	No	Yes		FALSE	105	0	5	100	
Potion Of Mind Control (Monster)	"15,000"	7500		TYP	No	Platinum	No	Yes		FALSE	105	0	5	100	
Rakdos Riteknife	"55,000"	27500		GGR	Yes	Platinum	No	Yes		FALSE	95	0	5	90	
Ring of Djinni Summoning	"60,000"	30000		DMG	Yes	Platinum	No	Yes		FALSE	85	0	5	80	
Ring Of Elemental Command	"85,000"	42500		DMG	Yes	Platinum	No	Yes		FALSE	35	0	5	30	
Ring of Regeneration	"65,000"	32500		DMG	Yes	Platinum	Yes	Yes		FALSE	75	0	5	70	
Ring of Shooting Stars	"55,000"	27500		DMG	Yes	Platinum	No	Yes		FALSE	95	0	5	90	
Ring Of Spell Turning	"60,000"	30000		DMG	Yes	Platinum	No	Yes		FALSE	85	0	5	80	
Ring of Telekinesis	"55,000"	27500		DMG	Yes	Platinum	Yes	Yes		FALSE	95	0	5	90	
Robe of Scintillating Colors	"72,000"	36000		DMG	Yes	Platinum	No	Yes		FALSE	61	0	5	56	
